"file","test","failed","skipped","error","warning","passed"
"test-survivalPower-check-function.R","multi-arm non-inferiority uses the adjusted one-sided alpha throughout",0,FALSE,FALSE,0,12
"test-survivalPower-check-function.R","shared control power uses the correlation of the treatment contrasts",0,FALSE,FALSE,0,1
"test-survivalPower-check-function.R","failed calculations do not produce completion messages or derived plots",0,FALSE,FALSE,0,12
"test-survivalPower-check-function.R","simulation validation refuses designs the simulator does not implement",0,FALSE,FALSE,0,12
"test-survivalPower-check-function.R","sensitivity scenarios keep the selected design and multiplicity adjustment",0,FALSE,FALSE,0,8
"test-survivalPower-check-function.R","saved results clear when a formerly valid design becomes unsupported",0,FALSE,FALSE,0,16
"test-survivalPower-check-function.R","two-sided power equals alpha at the null and includes both rejection tails",0,FALSE,FALSE,0,7
"test-survivalPower-design-factors.R","interim looks inflate log-rank and non-inferiority, not only Cox",0,FALSE,FALSE,0,2
"test-survivalPower-design-factors.R","the Cox sequential design is efficacy-only",0,FALSE,FALSE,0,2
"test-survivalPower-design-factors.R","sequential power agrees with gsDesign's boundary-crossing probability",0,FALSE,FALSE,0,3
"test-survivalPower-design-factors.R","power, detectable HR and duration honour the design the sample size used",0,FALSE,FALSE,0,7
"test-survivalPower-design-factors.R","detail tables report the headline's numbers",0,FALSE,FALSE,0,4
"test-survivalPower-design-factors.R","the non-inferiority interim table is populated at one-sided alpha",0,FALSE,FALSE,0,3
"test-survivalPower-design-factors.R","unsupported design choices are refused or disclosed, not silently ignored",0,FALSE,FALSE,0,7
"test-survivalPower-distributions.R","Weibull distribution: Sample size calculation works (shape = 1.5)",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Weibull distribution: Shape = 1.0 equivalent to exponential",0,FALSE,FALSE,0,2
"test-survivalPower-distributions.R","Weibull distribution: Decreasing hazard (shape < 1)",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Weibull distribution: Increasing hazard (shape > 1)",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Weibull distribution: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Weibull distribution: Invalid shape parameter rejected",0,FALSE,FALSE,0,2
"test-survivalPower-distributions.R","Log-normal distribution: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Log-normal distribution: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower-distributions.R","Log-normal distribution: Different sigma values",0,FALSE,FALSE,0,2
"test-survivalPower-distributions.R","Different distributions produce different sample sizes",0,FALSE,FALSE,0,3
"test-survivalPower-events.R","the events file is wired to the control that references it",0,FALSE,FALSE,0,4
"test-survivalPower-events.R","every preset key and value is legal under the .a.yaml schema",0,FALSE,FALSE,0,331
"test-survivalPower-events.R","the custom preset restores the .a.yaml defaults",0,FALSE,FALSE,0,19
"test-survivalPower-events.R","every preset produces a usable analysis, not a validation error",0,FALSE,FALSE,0,12
"test-survivalPower-events.R","presets recover a usable design after unsupported settings were selected",0,FALSE,FALSE,0,31
"test-survivalPower-full-audit-fixes.R","achieved power drives assessment, independently of requested power",0,FALSE,FALSE,0,15
"test-survivalPower-full-audit-fixes.R","solved durations and calendar event milestones propagate to displays",0,FALSE,FALSE,0,7
"test-survivalPower-full-audit-fixes.R","detectable effect summaries use the solved HR and its events",0,FALSE,FALSE,0,9
"test-survivalPower-full-audit-fixes.R","cluster enrollment uses complete allocation blocks and discloses limitations",0,FALSE,FALSE,0,20
"test-survivalPower-full-audit-fixes.R","event-free simulations have finite uncertainty and explicit diagnostics",0,FALSE,FALSE,0,9
"test-survivalPower-full-audit-fixes.R","NI objectives are consistent across every narrative and analysis mode",0,FALSE,FALSE,0,34
"test-survivalPower-full-audit-fixes.R","Cox headlines, plots, sensitivity and inverse calculations share a method",0,FALSE,FALSE,0,13
"test-survivalPower-full-audit-fixes.R","equivalent effect specifications support signed differences and full HR bounds",0,FALSE,FALSE,0,17
"test-survivalPower-full-audit-fixes.R","unsupported sensitivity modes produce no placeholder scenarios or hidden plots",0,FALSE,FALSE,0,8
"test-survivalPower-full-audit-fixes.R","preset help accurately describes R and GUI behavior",0,FALSE,FALSE,0,2
"test-survivalPower-full-audit-fixes.R","simulation failures retain events and warnings without claiming convergence",0,FALSE,FALSE,0,17
"test-survivalPower-full-audit-fixes.R","Cox simulation comparison uses achieved power of the selected method",0,FALSE,FALSE,0,5
"test-survivalPower-full-audit-fixes.R","sequential Cox power preserves null alpha and gates missing upstream support",0,FALSE,FALSE,0,5
"test-survivalPower-full-audit-fixes.R","sequential Cox enrollment attains target power in both effect directions",0,FALSE,FALSE,0,16
"test-survivalPower-full-audit-fixes.R","notices prioritize severity and deduplicate repeated diagnostics",0,FALSE,FALSE,0,5
"test-survivalPower-interim-and-ni.R","a non-inferiority effect at or beyond the margin yields no sample size",0,FALSE,FALSE,0,8
"test-survivalPower-interim-and-ni.R","interim analyses reach gsDesign and inflate the sample size",0,FALSE,FALSE,0,5
"test-survivalPower-interim-and-ni.R","interim boundaries and spend come from the design, not hand arithmetic",0,FALSE,FALSE,0,8
"test-survivalPower-interim-and-ni.R","Cox duration and detectable effect invert the chosen method",0,FALSE,FALSE,0,4
"test-survivalPower-interim-and-ni.R","Monte Carlo validation is seeded and run once per analysis",0,FALSE,FALSE,0,3
"test-survivalPower-release-gates.R","NI inversion does not describe an unused survival-difference landmark",0,FALSE,FALSE,0,3
"test-survivalPower-release-gates.R","all survivalPower citations have complete library metadata",0,FALSE,FALSE,0,32
"test-survivalPower-release-gates.R","NI effect inversion reaches its target using independently integrated events",0,FALSE,FALSE,0,6
"test-survivalPower-release-review.R","Weibull scale is the true inverse of the requested median",0,FALSE,FALSE,0,6
"test-survivalPower-release-review.R","Weibull medians match stats::qweibull",0,FALSE,FALSE,0,6
